review_priority,evidence_basis,code,description_en,description_pt,nanda_domain,nanda_class,nanda_source_page,nanda_pdf_page,nic_code,nic_label_en,nic_label_pt,nic_reuse_count,noc_code,noc_label_en,noc_label_pt,noc_reuse_count,mapping_confidence,mapping_status,contextual_alternative_count,contextual_nic_codes,contextual_noc_codes,mapping_reference,mapping_rationale,mapping_review_date
high,edition_baseline_plus_semantic_match,00363,Impaired sitting ability,Capacidade de sentar-se prejudicada,4,2,359,440,0221,Exercise Therapy: Ambulation,Terapia com Exercício: Deambulação,6,0208,Mobility,Mobilidade,9,moderate,curated_current_editions_contextual,0,,,https://nursing.uiowa.edu/center-for-nursing-classification-and-clinical-effectiveness,Ambulation-focused exercise therapy supports mobility; Mobility is the direct broad outcome.,2026-09-08
high,edition_baseline_plus_semantic_match,00364,Impaired standing ability,Capacidade de ficar em pé prejudicada,4,2,360,442,0221,Exercise Therapy: Ambulation,Terapia com Exercício: Deambulação,6,0208,Mobility,Mobilidade,9,moderate,curated_current_editions_contextual,0,,,https://nursing.uiowa.edu/center-for-nursing-classification-and-clinical-effectiveness,Ambulation-focused exercise therapy supports mobility; Mobility is the direct broad outcome.,2026-09-08
high,specific_literature_or_source,00369,Risk for ineffective health self-management,Risco de autogestão ineficaz da saúde,1,2,216,251,4480,Self-Responsibility Facilitation,Facilitação da Autorresponsabilidade,4,1613,Self-Management of Care,Autogestão dos Cuidados,2,moderate,curated_current_editions_contextual,0,,,https://doi.org/10.1111/jan.15503,Self-direction and responsibility are closer to self-management than generic disease knowledge alone.,2026-09-08
high,specific_literature_or_source,00376,Readiness for enhanced social comfort,Prontidão para maior conforto social,12,3,647,814,5100,Socialization Enhancement,Melhora da Socialização,5,2012,Comfort Status: Sociocultural,Estado de Conforto: Sociocultural,1,moderate,curated_current_editions_contextual,0,,,https://doi.org/10.1177/20473087261445590,Socialization enhancement and sociocultural comfort align with readiness for enhanced social comfort.,2026-09-08
high,specific_literature_or_source,00395,Risk for ineffective health maintenance behaviours,Risco de comportamentos ineficazes de manutenção da saúde,1,2,257,306,4480,Self-Responsibility Facilitation,Facilitação da Autorresponsabilidade,4,1602,Health Promoting Behaviour,Comportamento de Promoção da Saúde,3,moderate,curated_current_editions_contextual,0,,,https://doi.org/10.1111/jan.15503,Health-maintenance behaviour is better represented by health-promoting behaviour than disease-process knowledge.,2026-09-08
high,edition_baseline_plus_semantic_match,00412,Risk for ineffective dry mouth self-management,Risco de autogestão ineficaz da boca seca,1,2,232,272,1710,Oral Health Maintenance,Manutenção da Saúde Oral,4,1100,Oral Health,Saúde Oral,2,moderate,curated_current_editions_contextual,0,,,https://nursing.uiowa.edu/center-for-nursing-classification-and-clinical-effectiveness,Oral-health maintenance and Oral Health are closer to dry-mouth consequences than generic disease knowledge.,2026-09-08
high,specific_literature_or_source,00439,Risk for disrupted attachment behaviours,Risco de comportamentos de apego perturbado,7,2,461,570,7110,Family Involvement Promotion,Promoção do Envolvimento Familiar,3,1500,Parent-Infant Attachment,Vínculo Pais-Lactente,1,moderate,curated_current_editions_contextual,0,,,https://doi.org/10.1111/2047-3095.12323,Family involvement supports attachment processes; Parent-Infant Attachment is the closest NOC outcome.,2026-09-08
high,specific_literature_or_source,00445,Risk for ineffective intimate partner relationship,Risco de relacionamento íntimo ineficaz,7,3,467,577,5240,Counselling,Aconselhamento,3,1502,Social Interaction Skills,Habilidades de Interação Social,4,moderate,curated_current_editions_contextual,0,,,https://doi.org/10.1111/jan.16652,Counselling plus social interaction skills is a safer relationship-focused linkage than the prior pregnancy-specific mapping.,2026-09-08
high,specific_literature_or_source,00446,Readiness for enhanced intimate partner relationship,Prontidão para um relacionamento íntimo mais profundo,7,3,468,578,5240,Counselling,Aconselhamento,3,1502,Social Interaction Skills,Habilidades de Interação Social,4,moderate,curated_current_editions_contextual,0,,,https://doi.org/10.1111/jan.16652,Counselling plus social interaction skills is a safer relationship-focused linkage than the prior pregnancy-specific mapping.,2026-09-08
high,specific_literature_or_source,00449,Ineffective intimate relationship,relacionamento íntimo ineficaz,7,3,465,574,5240,Counselling,Aconselhamento,3,1502,Social Interaction Skills,Habilidades de Interação Social,4,moderate,curated_current_editions_contextual,0,,,https://doi.org/10.1111/jan.16652,Counselling plus social interaction skills is a safer relationship-focused linkage than the prior pregnancy-specific mapping.,2026-09-08
high,current_edition_code_label_listing_plus_semantic_match,00461,Impaired nipple-areolar complex integrity,Integridade comprometida do complexo aréolo-mamilar,11,2,572,716,5244,Breastfeeding Counselling,Aconselhamento sobre Amamentação,9,1101,Tissue Integrity: Skin & Mucous Membranes,Integridade Tissular: Pele e Mucosas,6,moderate,curated_current_editions_contextual,1,3660 Wound Care,,https://www.salusplay.com/blog/clasificacion-completa-intervenciones-enfermeria-nic-2024/,Legacy NIC 1054 is not listed in NIC 8th. Breastfeeding Counselling (5244) can address nipple care/feeding technique while Tissue Integrity tracks the injury; wound/skin interventions may be selected after assessment.,2026-09-08
high,current_edition_code_label_listing_plus_semantic_match,00462,Risk for impaired nipple-areolar complex integrity,Risco de comprometimento da integridade do complexo aréolo-mamilar,11,2,574,719,5244,Breastfeeding Counselling,Aconselhamento sobre Amamentação,9,1902,Risk Control,Controle de Risco,12,moderate,curated_current_editions_contextual,2,3590 Skin Surveillance,1101 Tissue Integrity: Skin & Mucous Membranes,https://www.salusplay.com/blog/clasificacion-completa-intervenciones-enfermeria-nic-2024/,Legacy NIC 1054 is not listed in NIC 8th. Breastfeeding Counselling (5244) supports preventive technique; general Risk Control remains a compatibility outcome pending patient-specific risk selection.,2026-09-08
high,edition_baseline_plus_semantic_match,00488,Risk for compromised human dignity,Risco de violação da dignidade humana,6,1,431,534,5270,Emotional Support,Apoio Emocional,4,2002,Personal Well-Being,Bem-Estar Pessoal,2,moderate,curated_current_editions_contextual,0,,,https://nursing.uiowa.edu/center-for-nursing-classification-and-clinical-effectiveness,Emotional support and personal well-being are conservative targets when dignity is threatened.,2026-09-08
high,edition_baseline_plus_semantic_match,00493,Disrupted thought processes,Processos de pensamento interrompidos,5,4,409,506,4720,Cognitive Stimulation,Estimulação Cognitiva,1,0900,Cognition,Cognição,3,moderate,curated_current_editions_contextual,0,,,https://nursing.uiowa.edu/center-for-nursing-classification-and-clinical-effectiveness,Cognitive Stimulation and Cognition align with disrupted thought processes.,2026-09-08
high,edition_baseline_plus_semantic_match,00494,Disrupted personal identity,Identidade pessoal perturbada,6,1,427,528,5390,Self-Awareness Enhancement,Melhora da Autoconsciência,2,1205,Self-Esteem,Autoestima,7,moderate,curated_current_editions_contextual,0,,,https://nursing.uiowa.edu/center-for-nursing-classification-and-clinical-effectiveness,Self-awareness work supports self-concept/identity; Self-Esteem provides a measurable self-perception outcome.,2026-09-08
medium,edition_baseline_plus_semantic_match,00007,Hyperthermia,Hipertermia,11,6,630,793,3900,Temperature Regulation,Regulação da Temperatura,9,0800,Thermoregulation,Termorregulação,9,high,curated_current_editions_contextual,0,,,https://nursing.uiowa.edu/center-for-nursing-classification-and-clinical-effectiveness,Temperature Regulation and Thermoregulation directly match thermoregulation diagnoses.,2026-09-08
medium,edition_baseline_plus_semantic_match,00008,Ineffective thermoregulation,Termorregulação ineficaz,11,6,620,778,3900,Temperature Regulation,Regulação da Temperatura,9,0800,Thermoregulation,Termorregulação,9,high,curated_current_editions_contextual,0,,,https://nursing.uiowa.edu/center-for-nursing-classification-and-clinical-effectiveness,Temperature Regulation and Thermoregulation directly match thermoregulation diagnoses.,2026-09-08
medium,current_edition_code_label_listing_plus_semantic_match,00010,Risk for autonomic dysreflexia,Risco de disreflexia autonômica,9,3,515,637,2620,Neurologic Monitoring,Monitoração Neurológica,2,0910,Neurological Function: Autonomic,Função Neurológica: Autonômica,1,high,curated_current_editions_contextual,0,,,https://www.salusplay.com/apuntes/pae-y-diagnosticos-de-enfermeria-nanda-noc-y-nic/anexo-2-clasificacion-completa-de-resultados-de-enfermeria-noc-2024-8,Neurologic Monitoring with Neurological Function: Autonomic directly targets autonomic dysreflexia rather than the prior nonspecific Cognition outcome.,2026-09-08
medium,edition_baseline_plus_semantic_match,00026,Excessive fluid volume,Volume excessivo de fluido,2,5,311,376,4120,Fluid Management,Controle de Líquidos,5,0603,Fluid Overload Severity,Gravidade da Sobrecarga Hídrica,2,high,curated_current_editions_contextual,0,,,https://nursing.uiowa.edu/center-for-nursing-classification-and-clinical-effectiveness,Fluid Overload Severity directly measures excessive fluid volume.,2026-09-08
medium,edition_baseline_plus_semantic_match,00039,Risk for aspiration,Risco de aspiração,11,2,583,732,3200,Aspiration Precautions,Precauções contra Aspiração,1,0410,Respiratory Status: Airway Patency,Estado Respiratório: Permeabilidade das Vias Aéreas,2,high,curated_current_editions_contextual,0,,,https://nursing.uiowa.edu/center-for-nursing-classification-and-clinical-effectiveness,Aspiration Precautions and airway patency directly address aspiration risk; corrects the prior overly generic Airway Management mapping.,2026-09-08
medium,edition_baseline_plus_semantic_match,00042,Risk for latex allergy reaction,Risco de reação alérgica ao látex,11,5,619,776,6570,Latex Precautions,Precauções com Látex,1,0707,Immune Hypersensitivity Response,Resposta de Hipersensibilidade Imunológica,2,high,curated_current_editions_contextual,0,,,https://nursing.uiowa.edu/center-for-nursing-classification-and-clinical-effectiveness,Latex Precautions and Immune Hypersensitivity Response directly address latex-allergy risk.,2026-09-08
medium,edition_baseline_plus_semantic_match,00045,Impaired oral mucous membrane integrity,Integridade da membrana mucosa oral comprometida,11,2,576,721,1710,Oral Health Maintenance,Manutenção da Saúde Oral,4,1101,Tissue Integrity: Skin & Mucous Membranes,Integridade Tissular: Pele e Mucosas,6,high,curated_current_editions_contextual,0,,,https://nursing.uiowa.edu/center-for-nursing-classification-and-clinical-effectiveness,Oral health maintenance and tissue/mucous-membrane integrity directly address oral mucosa.,2026-09-08
medium,edition_baseline_plus_semantic_match,00047,Risk for impaired skin integrity,Risco de integridade da pele comprometida,11,2,570,714,3590,Skin Surveillance,Supervisão da Pele,2,1902,Risk Control,Controle de Risco,12,high,curated_current_editions_contextual,0,,,https://nursing.uiowa.edu/center-for-nursing-classification-and-clinical-effectiveness,Skin surveillance and risk control directly address threatened tissue/skin integrity.,2026-09-08
medium,edition_baseline_plus_semantic_match,00068,Readiness for enhanced spiritual well-being,Prontidão para um maior bem-estar espiritual,10,3,529,656,5420,Spiritual Support,Apoio Espiritual,6,2001,Spiritual Health,Saúde Espiritual,7,high,curated_current_editions_contextual,0,,,https://nursing.uiowa.edu/center-for-nursing-classification-and-clinical-effectiveness,Spiritual Support and Spiritual Health directly address spiritual well-being.,2026-09-08
medium,current_edition_code_label_listing_plus_semantic_match,00076,Readiness for enhanced community coping,Prontidão para uma melhor adaptação à comunidade,9,2,493,610,8500,Community Health Development,Desenvolvimento da Saúde Comunitária,4,2704,Community Resilience,Resiliência da Comunidade,2,high,curated_current_editions_contextual,1,,2701 Community Health Status,https://www.salusplay.com/apuntes/pae-y-diagnosticos-de-enfermeria-nanda-noc-y-nic/anexo-2-clasificacion-completa-de-resultados-de-enfermeria-noc-2024-8,"Corrects NOC 2700, which means Social Competence in NOC 7th. Community Resilience (2704) is the more direct community-level coping outcome.",2026-09-08
medium,edition_baseline_plus_semantic_match,00089,Impaired wheelchair mobility,Mobilidade reduzida em cadeira de rodas,4,2,357,438,0846,Positioning: Wheelchair,Posicionamento: Cadeira de Rodas,1,0208,Mobility,Mobilidade,9,high,curated_current_editions_contextual,0,,,https://nursing.uiowa.edu/center-for-nursing-classification-and-clinical-effectiveness,Wheelchair positioning is specific to impaired wheelchair mobility; Mobility measures functional change.,2026-09-08
