classification,code,current_label_en,current_label_pt,status,risk_review,old_label_en,recovered_en,recovered_pt,diagnosis_count,diagnosis_codes,diagnoses_en,diagnoses_pt,review_en,review_pt,fact_check_notes,source_notes,review_status
NOC,0407,Tissue Perfusion: Peripheral,Perfusão Tissular: Periférica,AUTHOR_NEW,STANDARD,,,,2,00204; 00228,Ineffective peripheral tissue perfusion | Risk for ineffective peripheral tissue perfusion,Perfusão tecidual periférica ineficaz | Risco de perfusão tecidual periférica ineficaz,"NOC 0407 — Tissue Perfusion: Peripheral. Local example evaluation: compare bilateral limb colour, temperature, capillary refill, pulses, pain, sensation, movement and wound or skin status; document claudication or rest pain and whether activity or position changes symptoms according to the vascular plan; trend healing and signs of infection in ischaemic wounds; assess response to prescribed cardiovascular-risk and vascular treatment; use selected licensed NOC indicators and scale for formal scoring and treat sudden severe pain, pallor or coolness, absent pulses or new sensory or motor loss as urgent deterioration.","NOC 0407 — Perfusão Tissular: Periférica. Exemplo local de avaliação: comparar bilateralmente coloração, temperatura, enchimento capilar, pulsos, dor, sensibilidade, movimento e estado de feridas ou pele; documentar claudicação ou dor em repouso e se atividade ou posição alteram sintomas conforme plano vascular; acompanhar cicatrização e sinais de infecção em feridas isquêmicas; avaliar resposta ao tratamento vascular e de risco cardiovascular prescrito; utilizar indicadores e escala NOC licenciados selecionados para pontuação formal e tratar dor intensa súbita, palidez ou frialdade, ausência de pulsos ou nova perda sensitiva ou motora como deterioração urgente.",Peripheral-perfusion evaluation aligned with PAD assessment and urgent limb-ischaemia red flags.,https://www.nice.org.uk/guidance/cg147/chapter/recommendations,EVIDENCE_REVIEWED_AUTHOR_NEW_DRAFT
NOC,0410,Respiratory Status: Airway Patency,Estado Respiratório: Permeabilidade das Vias Aéreas,AUTHOR_NEW,HIGH,,,,2,00031; 00039,Ineffective airway clearance | Risk for aspiration,Desobstrução ineficaz das vias aéreas | Risco de aspiração,"NOC 0410 — Respiratory Status: Airway Patency. Local evaluation examples: assess whether the person can maintain a clear airway and manage secretions without repeated choking or obstruction; observe cough strength/effectiveness, secretion amount/character, breath sounds and voice quality; trend respiratory effort, oxygenation and episodes of stridor, wheeze, gurgling or sudden respiratory distress; document the need for suctioning or other prescribed airway-clearance support and the response; use the selected licensed NOC indicators/scale for formal scoring and escalate any loss of airway patency.","NOC 0410 — Estado Respiratório: Permeabilidade das Vias Aéreas. Exemplos locais de avaliação: avaliar se a pessoa consegue manter as vias aéreas livres e manejar secreções sem episódios repetidos de engasgo ou obstrução; observar força/eficácia da tosse, quantidade/características das secreções, sons respiratórios e qualidade da voz; acompanhar esforço respiratório, oxigenação e episódios de estridor, sibilância, ruído gorgolejante ou desconforto respiratório súbito; documentar necessidade de aspiração ou outro suporte prescrito para limpeza das vias aéreas e a resposta; utilizar os indicadores/escala NOC licenciados selecionados para a pontuação formal e escalar qualquer perda de permeabilidade das vias aéreas.",Evidence-reviewed locally authored example guidance; not verbatim or official NIC/NOC activity/indicator text. Checked for alignment with the current classification label and the linked diagnoses; avoids fixed numeric NOC targets unless clinically meaningful and preserves escalation/scope boundaries for high-risk care.,https://www.asha.org/practice-portal/clinical-topics/adult-dysphagia/ | https://www.nice.org.uk/guidance/CG50/chapter/recommendations,EVIDENCE_REVIEWED_HIGH_RISK_DRAFT
NOC,0413,Blood Loss Severity,Gravidade da Perda de Sangue,AUTHOR_NEW,STANDARD,,,,1,00374,Risk for excessive bleeding,Risco de sangramento excessivo,"NOC 0413 — Blood Loss Severity. Local example evaluation: trend visible and concealed bleeding indicators, including wound or dressing or drain output, bruising, mucosal bleeding, urine or stool findings and symptoms suggesting internal blood loss; monitor heart rate, blood pressure, perfusion, mental status and relevant ordered haemoglobin or coagulation data in context; document the rate and persistence of blood loss rather than a single observation; assess response to prescribed haemostatic treatment, fluids or blood products; use selected licensed NOC indicators and scale for formal scoring and escalate haemodynamic change or suspected major bleeding immediately.","NOC 0413 — Gravidade da Perda de Sangue. Exemplo local de avaliação: acompanhar indicadores de sangramento visível ou oculto, incluindo ferida, curativo, drenos, equimoses, mucosas, urina ou fezes e sintomas de perda interna; monitorar frequência cardíaca, pressão arterial, perfusão, estado mental e hemoglobina ou coagulação solicitadas no contexto; documentar velocidade e persistência da perda em vez de observação isolada; avaliar resposta ao tratamento hemostático, fluidos ou hemocomponentes prescritos; utilizar indicadores e escala NOC licenciados selecionados para pontuação formal e escalar alteração hemodinâmica ou suspeita de sangramento importante imediatamente.","Blood-loss evaluation focuses on observed loss, physiology and response, not a fixed score.",https://www.nice.org.uk/guidance/cg50/chapter/recommendations,EVIDENCE_REVIEWED_AUTHOR_NEW_DRAFT
NOC,0500,Bowel Continence,Continência Intestinal,AUTHOR_NEW,STANDARD,,,,2,00345; 00424,Risk for impaired fecal continence | Impaired fecal continence,Risco de incontinência fecal | Incontinência fecal prejudicada,"NOC 0500 — Bowel Continence. Local example evaluation: record frequency, volume and circumstances of bowel leakage together with stool consistency, urgency and awareness; assess ability to defer defecation long enough to reach the toilet and whether bowel routine, diet, prescribed medicines or pelvic-floor treatment reduces episodes; document perianal skin integrity and impact on daily or social activity; compare episode frequency and predictability over time rather than requiring complete continence for every patient; use selected licensed NOC indicators and scale for formal scoring and refer persistent symptoms or red flags.","NOC 0500 — Continência Intestinal. Exemplo local de avaliação: registrar frequência, volume e circunstâncias das perdas fecais juntamente com consistência, urgência e percepção; avaliar capacidade de adiar evacuação até alcançar banheiro e se rotina intestinal, dieta, medicamentos prescritos ou tratamento do assoalho pélvico reduzem episódios; documentar integridade da pele perianal e impacto diário ou social; comparar frequência e previsibilidade ao longo do tempo sem exigir continência completa para todos; utilizar indicadores e escala NOC licenciados selecionados para pontuação formal e encaminhar sintomas persistentes ou sinais de alarme.",Fecal-continence evaluation aligned with NIDDK management concepts.,https://www.niddk.nih.gov/health-information/digestive-diseases/bowel-control-problems-fecal-incontinence/treatment,EVIDENCE_REVIEWED_AUTHOR_NEW_DRAFT
NOC,0501,Bowel Elimination,Eliminação Intestinal,RECOVERED_FACT_CHECK_REQUIRED,STANDARD,Bowel Elimination,"NOC 0501 — Bowel Elimination. Example evaluation: Record frequency, consistency, ease, and discomfort; example target: selected indicators improve from 2/5 to 4/5.","NOC 0501 — Eliminação intestinal (English: Bowel Elimination). Exemplo de avaliação: Registrar frequência, consistência, facilidade e desconforto; exemplo de meta: indicadores selecionados de 2/5 para 4/5.",4,00235; 00236; 00344; 00346,Chronic functional constipation | Risk for chronic functional constipation | Impaired intestinal elimination | Risk for impaired intestinal elimination,constipação funcional crônica | Risco de constipação funcional crônica | Eliminação intestinal prejudicada | Risco de comprometimento da eliminação intestinal,"NOC 0501 — Bowel Elimination. Local evaluation examples: record bowel frequency, stool form/consistency, ease of passage, urgency/continence and abdominal or rectal discomfort; assess whether the person can follow a sustainable toileting routine without excessive straining; trend response to diet, fluid, activity and prescribed bowel treatment; document new bleeding, severe distension/pain or failure to pass stool/flatus as safety findings rather than outcome targets; use the selected licensed NOC indicators/scale for formal scoring.","NOC 0501 — Eliminação Intestinal. Exemplos locais de avaliação: registrar frequência intestinal, forma/consistência das fezes, facilidade de eliminação, urgência/continência e desconforto abdominal ou retal; avaliar se a pessoa consegue manter rotina de evacuação sustentável sem esforço excessivo; acompanhar resposta à dieta, líquidos, atividade e tratamento intestinal prescrito; documentar novo sangramento, distensão/dor intensa ou incapacidade de eliminar fezes/gases como achados de segurança e não metas de resultado; utilizar os indicadores/escala NOC licenciados selecionados para pontuação formal.","Recovered text was treated only as a candidate. This replacement was re-checked against the CURRENT code/label and linked diagnoses, then rewritten where needed for specificity, contemporary clinical practice, scope boundaries, observable evaluation, and safety. Locally authored example guidance; not verbatim or official NIC/NOC activity/indicator wording.",https://www.niddk.nih.gov/health-information/digestive-diseases/constipation/treatment,EVIDENCE_REVIEWED_RECOVERED_OR_DRIFT_DRAFT
NOC,0502,Urinary Continence,Continência Urinária,AUTHOR_NEW,STANDARD,,,,5,00017; 00019; 00022; 00297; 00310,Stress urinary incontinence | Urge urinary incontinence | Risk for urge urinary incontinence | Disability-associated urinary incontinence | Mixed urinary incontinence,Incontinência urinária de esforço | Incontinência urinária de urgência | Risco de incontinência urinária de urgência | Incontinência urinária associada à deficiência | Incontinência urinária mista,"NOC 0502 — Urinary Continence. Local example evaluation: record leakage episodes, urgency, frequency, nocturia and pad or containment use with a bladder diary when useful; assess ability to delay voiding and reach the toilet, pelvic-floor or bladder-training performance and mobility barriers; document skin integrity, sleep and social impact as well as symptom frequency; compare response to the individualized continence plan over time; use selected licensed NOC indicators and scale for formal scoring and investigate haematuria, pain, recurrent infection, voiding difficulty or suspected retention.","NOC 0502 — Continência Urinária. Exemplo local de avaliação: registrar episódios de perda, urgência, frequência, noctúria e uso de absorventes ou contenção com diário vesical quando útil; avaliar capacidade de adiar micção e alcançar banheiro, desempenho do treinamento vesical ou assoalho pélvico e barreiras de mobilidade; documentar integridade da pele, sono e impacto social além da frequência; comparar resposta ao plano individual de continência; utilizar indicadores e escala NOC licenciados selecionados para pontuação formal e investigar hematúria, dor, infecção recorrente, dificuldade miccional ou suspeita de retenção.",Urinary-continence evaluation aligned with NICE bladder training and pelvic-floor management.,https://www.nice.org.uk/guidance/ng123/chapter/recommendations,EVIDENCE_REVIEWED_AUTHOR_NEW_DRAFT
NOC,0503,Urinary Elimination,Eliminação Urinária,RECOVERED_FACT_CHECK_REQUIRED,STANDARD,Urinary Elimination,"NOC 0503 — Urinary Elimination. Example evaluation: Record frequency, volume, urgency, continence and discomfort; example target: selected indicators improve from 2/5 to 4/5.","NOC 0503 — Eliminação urinária (English: Urinary Elimination). Exemplo de avaliação: Registrar frequência, volume, urgência, continência e desconforto; exemplo de meta: indicadores selecionados de 2/5 para 4/5.",2,00016; 00322,Impaired urinary elimination | Risk for urinary retention,Eliminação urinária prejudicada | Risco de retenção urinária,"NOC 0503 — Urinary Elimination. Local evaluation examples: record voiding frequency, volume, urgency, nocturia, continence and discomfort and compare with the person’s usual pattern; assess ability to empty the bladder without hesitancy/straining or painful distension; trend intake/output or bladder-diary data when relevant and document response to the continence/voiding plan; note haematuria, infection symptoms or new retention as safety findings requiring assessment; use the selected licensed NOC indicators/scale for formal scoring.","NOC 0503 — Eliminação Urinária. Exemplos locais de avaliação: registrar frequência miccional, volume, urgência, noctúria, continência e desconforto e comparar com o padrão habitual da pessoa; avaliar capacidade de esvaziar a bexiga sem hesitação/esforço ou distensão dolorosa; acompanhar balanço/diário vesical quando pertinente e documentar resposta ao plano de continência/micção; observar hematúria, sintomas de infecção ou nova retenção como achados de segurança que exigem avaliação; utilizar os indicadores/escala NOC licenciados selecionados para pontuação formal.","Recovered text was treated only as a candidate. This replacement was re-checked against the CURRENT code/label and linked diagnoses, then rewritten where needed for specificity, contemporary clinical practice, scope boundaries, observable evaluation, and safety. Locally authored example guidance; not verbatim or official NIC/NOC activity/indicator wording.",https://www.niddk.nih.gov/health-information/urologic-diseases/bladder-control-problems/treatment | https://www.nice.org.uk/guidance/ng123/chapter/recommendations,EVIDENCE_REVIEWED_RECOVERED_OR_DRIFT_DRAFT
NOC,0601,Fluid Balance,Equilíbrio Hídrico,RECOVERED_FACT_CHECK_REQUIRED,STANDARD,Fluid Balance,NOC 0601 — Fluid Balance. Example evaluation: Compare intake/output and associated signs; example target: move from 2/5 to 4/5 in maintaining expected balance.,NOC 0601 — Equilíbrio hídrico (English: Fluid Balance). Exemplo de avaliação: Comparar entradas/saídas e sinais associados; exemplo de meta: passar de 2/5 para 4/5 na manutenção do equilíbrio esperado.,1,00492,Risk for impaired fluid volume balance,Risco de desequilíbrio do volume de fluidos,"NOC 0601 — Fluid Balance. Local evaluation examples: trend oral/enteral/parenteral intake, urine and other measured losses together with weight and clinical signs of hydration/overload; assess mucous membranes, oedema, orthostatic symptoms, blood pressure, heart rate and urine output as appropriate to the condition; interpret laboratory values in context rather than using intake/output totals alone; compare the pattern with the prescribed fluid goal and baseline; use the selected licensed NOC indicators/scale for formal scoring and escalate signs of significant deficit or overload.","NOC 0601 — Equilíbrio Hídrico. Exemplos locais de avaliação: acompanhar ingestão oral/enteral/parenteral, diurese e outras perdas mensuradas juntamente com peso e sinais clínicos de hidratação/sobrecarga; avaliar mucosas, edema, sintomas ortostáticos, pressão arterial, frequência cardíaca e débito urinário conforme a condição; interpretar exames laboratoriais em contexto em vez de usar apenas totais de entrada/saída; comparar padrão com meta hídrica prescrita e linha de base; utilizar os indicadores/escala NOC licenciados selecionados para pontuação formal e escalar sinais de déficit ou sobrecarga importantes.","Recovered text was treated only as a candidate. This replacement was re-checked against the CURRENT code/label and linked diagnoses, then rewritten where needed for specificity, contemporary clinical practice, scope boundaries, observable evaluation, and safety. Locally authored example guidance; not verbatim or official NIC/NOC activity/indicator wording.",https://www.nice.org.uk/guidance/cg32/chapter/Recommendations | https://www.nice.org.uk/guidance/CG50/chapter/recommendations,EVIDENCE_REVIEWED_RECOVERED_OR_DRIFT_DRAFT
NOC,0602,Hydration,Hidratação,AUTHOR_NEW,STANDARD,,,,2,00420; 00421,Risk for inadequate fluid volume | Inadequate fluid volume,Risco de volume inadequado de fluidos | Volume de fluido inadequado,"NOC 0602 — Hydration. Local example evaluation: trend fluid intake, urine output, weight and clinical signs such as thirst, mucosal dryness, orthostatic symptoms, heart rate, blood pressure and mental status according to the person’s condition; review renal function or electrolytes when ordered and interpret them with clinical findings; document response to prescribed oral, enteral or IV hydration and ability to maintain intake; distinguish inadequate hydration from other causes of hypotension or fatigue; use selected licensed NOC indicators and scale for formal scoring and escalate shock, oliguria, severe electrolyte abnormality or inability to replace ongoing losses.","NOC 0602 — Hidratação. Exemplo local de avaliação: acompanhar ingestão hídrica, diurese, peso e sinais como sede, ressecamento de mucosas, sintomas ortostáticos, frequência cardíaca, pressão arterial e estado mental conforme condição; revisar função renal ou eletrólitos quando solicitados e interpretar com achados clínicos; documentar resposta à hidratação oral, enteral ou IV prescrita e capacidade de manter ingestão; distinguir hidratação inadequada de outras causas de hipotensão ou fadiga; utilizar indicadores e escala NOC licenciados selecionados para pontuação formal e escalar choque, oligúria, alteração eletrolítica grave ou incapacidade de repor perdas contínuas.",Hydration evaluation aligned with clinical and fluid-balance monitoring.,https://www.nice.org.uk/guidance/cg174/chapter/recommendations,EVIDENCE_REVIEWED_AUTHOR_NEW_DRAFT
NOC,0603,Fluid Overload Severity,Gravidade da Sobrecarga Hídrica,AUTHOR_NEW,STANDARD,,,,2,00026; 00370,Excessive fluid volume | Risk for excessive fluid volume,Volume excessivo de fluido | Risco de volume excessivo de fluidos,"NOC 0603 — Fluid Overload Severity. Local example evaluation: trend body weight, fluid balance, peripheral or sacral oedema, breathlessness, lung findings, oxygen requirement and blood pressure in the context of cardiac or renal status; document whether urine output and congestion respond to the prescribed fluid or diuretic plan; assess functional impact such as orthopnoea or reduced activity tolerance and compare with baseline; interpret laboratory or renal changes with the clinical picture; use selected licensed NOC indicators and scale for formal scoring and escalate pulmonary oedema, severe hypoxaemia or haemodynamic deterioration.","NOC 0603 — Gravidade da Sobrecarga Hídrica. Exemplo local de avaliação: acompanhar peso, balanço, edema periférico ou sacral, dispneia, achados pulmonares, necessidade de oxigênio e pressão arterial no contexto cardíaco ou renal; documentar se diurese e congestão respondem ao plano prescrito de líquidos ou diuréticos; avaliar impacto funcional como ortopneia ou redução da tolerância e comparar com linha de base; interpretar mudanças laboratoriais ou renais com quadro clínico; utilizar indicadores e escala NOC licenciados selecionados para pontuação formal e escalar edema pulmonar, hipoxemia grave ou deterioração hemodinâmica.",Fluid-overload evaluation uses serial congestion and physiological findings.,https://www.nice.org.uk/guidance/cg174/chapter/recommendations | https://www.nice.org.uk/guidance/cg50/chapter/recommendations,EVIDENCE_REVIEWED_AUTHOR_NEW_DRAFT
NOC,0606,Electrolyte Balance,Equilíbrio Eletrolítico,AUTHOR_NEW,STANDARD,,,,1,00491,Risk for impaired water-electrolyte balance,Risco de desequilíbrio hidroeletrolítico,"NOC 0606 — Electrolyte Balance. Local example evaluation: trend ordered sodium, potassium, magnesium, calcium and related renal or acid-base data as relevant to the condition and treatment; assess for weakness, cramps, nausea, altered mental status, seizures or rhythm changes that may indicate clinically important imbalance; relate results to intake, urine or GI losses, medicines and IV therapy rather than correcting numbers in isolation; document response to prescribed replacement or restriction and repeat testing at the planned interval; use selected licensed NOC indicators and scale for formal scoring and escalate severe or symptomatic abnormalities promptly.","NOC 0606 — Equilíbrio Eletrolítico. Exemplo local de avaliação: acompanhar sódio, potássio, magnésio, cálcio e dados renais ou ácido-base solicitados conforme condição e tratamento; avaliar fraqueza, cãibras, náusea, alteração mental, convulsões ou mudança de ritmo que possam indicar desequilíbrio importante; relacionar resultados a ingestão, perdas urinárias ou GI, medicamentos e terapia IV em vez de corrigir números isoladamente; documentar resposta à reposição ou restrição prescrita e repetir exames no intervalo planejado; utilizar indicadores e escala NOC licenciados selecionados para pontuação formal e escalar alterações graves ou sintomáticas prontamente.",Electrolyte evaluation preserves lab context and symptom escalation; no invented replacement doses.,https://www.nice.org.uk/guidance/cg174/chapter/recommendations,EVIDENCE_REVIEWED_AUTHOR_NEW_DRAFT
NOC,0702,Immune Status,Estado Imunológico,RECOVERED_FACT_CHECK_REQUIRED,STANDARD,Immune Status,NOC 0702 — Immune Status. Example evaluation: Trend relevant infection/immune indicators; example target 2/5 to 4/5 or maintenance at baseline when stable.,NOC 0702 — Estado imunológico (English: Immune Status). Exemplo de avaliação: Acompanhar indicadores imunológicos/infecciosos pertinentes; exemplo de meta 2/5 para 4/5 ou manutenção do basal quando estável.,1,00361,Impaired immune response,Resposta imune prejudicada,"NOC 0702 — Immune Status. Local evaluation examples: trend signs of infection and systemic illness in the context of the person’s immune condition and treatment; review relevant ordered laboratory data such as blood counts and inflammatory/infectious markers without treating any one value as the outcome; assess skin, oral/mucosal integrity and healing where immune compromise affects these areas; document frequency/severity of infections and response to prophylaxis or prescribed treatment; use selected licensed NOC indicators/scale for formal scoring and escalate clinical deterioration promptly.","NOC 0702 — Estado Imunológico. Exemplos locais de avaliação: acompanhar sinais de infecção e doença sistêmica no contexto da condição imunológica e do tratamento; revisar exames laboratoriais solicitados, como hemograma e marcadores inflamatórios/infecciosos, sem transformar um único valor no resultado; avaliar integridade da pele, boca/mucosas e cicatrização quando o comprometimento imunológico afetar essas áreas; documentar frequência/gravidade de infecções e resposta à profilaxia ou tratamento prescritos; utilizar indicadores/escala NOC licenciados selecionados para pontuação formal e escalar deterioração clínica prontamente.","Recovered text was treated only as a candidate. This replacement was re-checked against the CURRENT code/label and linked diagnoses, then rewritten where needed for specificity, contemporary clinical practice, scope boundaries, observable evaluation, and safety. Locally authored example guidance; not verbatim or official NIC/NOC activity/indicator wording.",https://www.nice.org.uk/guidance/CG50/chapter/recommendations,EVIDENCE_REVIEWED_RECOVERED_OR_DRIFT_DRAFT
NOC,0707,Immune Hypersensitivity Response,Resposta de Hipersensibilidade Imunológica,AUTHOR_NEW,STANDARD,,,,2,00042; 00217,Risk for latex allergy reaction | Risk for allergic reaction,Risco de reação alérgica ao látex | Risco de reação alérgica,"NOC 0707 — Immune Hypersensitivity Response. Local example evaluation: document the allergen or exposure and type, timing and progression of previous reactions and distinguish local intolerance from systemic hypersensitivity where possible; after suspected exposure, assess skin or mucosal findings together with airway, breathing, circulation and gastrointestinal symptoms; track whether symptoms remain localized, resolve or progress after prescribed treatment; confirm allergy documentation and the person’s ability to reduce exposure and use an emergency plan when prescribed; use selected licensed NOC indicators and scale for formal scoring and treat suspected anaphylaxis as an emergency.","NOC 0707 — Resposta de Hipersensibilidade Imunológica. Exemplo local de avaliação: documentar alérgeno ou exposição e tipo, tempo e progressão de reações prévias e distinguir intolerância local de hipersensibilidade sistêmica quando possível; após exposição suspeita, avaliar pele ou mucosas juntamente com vias aéreas, respiração, circulação e sintomas gastrointestinais; acompanhar se sintomas permanecem localizados, resolvem ou progridem após tratamento prescrito; confirmar registro da alergia e capacidade de reduzir exposição e usar plano emergencial quando prescrito; utilizar indicadores e escala NOC licenciados selecionados para pontuação formal e tratar suspeita de anafilaxia como emergência.",Immune hypersensitivity evaluation aligned with current NICE anaphylaxis guidance.,https://www.nice.org.uk/guidance/ng258,EVIDENCE_REVIEWED_AUTHOR_NEW_DRAFT
NOC,0800,Thermoregulation,Termorregulação,RECOVERED_FACT_CHECK_REQUIRED,STANDARD,Thermoregulation,NOC 0800 — Thermoregulation. Example evaluation: Trend body temperature and behavioral/physiologic signs; example target 2/5 to 4/5.,NOC 0800 — Termorregulação (English: Thermoregulation). Exemplo de avaliação: Acompanhar temperatura corporal e sinais comportamentais/fisiológicos; exemplo de meta 2/5 para 4/5.,9,00007; 00008; 00274; 00471; 00472; 00473; 00474; 00476; 00490,Hyperthermia | Ineffective thermoregulation | Risk for ineffective thermoregulation | Risk for hyperthermia | Decreased body temperature | Risk for decreased body temperature | Decreased neonatal body temperature | Risk for decreased neonatal body temperature | Risk for decreased perioperative body temperature,Hipertermia | Termorregulação ineficaz | Risco de termorregulação ineficaz | Risco de hipertermia | Diminuição da temperatura corporal | Risco de diminuição da temperatura corporal | Diminuição da temperatura corporal neonatal | Risco de diminuição da temperatura corporal neonatal | Risco de diminuição da temperatura corporal perioperatória,"NOC 0800 — Thermoregulation. Local evaluation examples: trend body temperature using a consistent appropriate method and relate it to environment, infection/inflammation, medicines and activity; assess chills, diaphoresis, skin temperature/colour, hydration and mental status; document whether warming/cooling or prescribed treatment returns temperature and symptoms toward the person’s expected range without causing adverse effects; note recurrent or persistent abnormal temperature; use the selected licensed NOC indicators/scale for formal scoring and escalate marked temperature disturbance with deterioration.","NOC 0800 — Termorregulação. Exemplos locais de avaliação: acompanhar temperatura corporal com método apropriado e consistente e relacioná-la a ambiente, infecção/inflamação, medicamentos e atividade; avaliar calafrios, sudorese, temperatura/coloração da pele, hidratação e estado mental; documentar se aquecimento/resfriamento ou tratamento prescrito aproxima temperatura e sintomas do intervalo esperado sem efeitos adversos; observar alteração recorrente ou persistente; utilizar os indicadores/escala NOC licenciados selecionados para pontuação formal e escalar distúrbio térmico importante com deterioração.","Recovered text was treated only as a candidate. This replacement was re-checked against the CURRENT code/label and linked diagnoses, then rewritten where needed for specificity, contemporary clinical practice, scope boundaries, observable evaluation, and safety. Locally authored example guidance; not verbatim or official NIC/NOC activity/indicator wording.",https://www.nice.org.uk/guidance/CG50/chapter/recommendations,EVIDENCE_REVIEWED_RECOVERED_OR_DRIFT_DRAFT
NOC,0900,Cognition,Cognição,RECOVERED_FACT_CHECK_REQUIRED,STANDARD,Cognition,NOC 0900 — Cognition. Example evaluation: Score orientation/attention/cognitive responses relevant to the diagnosis; example target 2/5 to 4/5.,NOC 0900 — Cognição (English: Cognition). Exemplo de avaliação: Pontuar orientação/atenção/respostas cognitivas pertinentes; exemplo de meta 2/5 para 4/5.,3,00128; 00129; 00493,Acute confusion | Chronic confusion | Disrupted thought processes,Confusão aguda | Confusão crônica | Processos de pensamento interrompidos,"NOC 0900 — Cognition. Local evaluation examples: assess orientation, attention, ability to follow conversation/instructions, problem-solving and decision-making relative to the person’s baseline and communication ability; distinguish chronic cognitive impairment from sudden fluctuation or inattention; document whether cues, sensory aids and a low-distraction environment improve performance; assess functional impact on medication use, self-care and safety; use selected licensed NOC indicators/scale for formal scoring and escalate acute cognitive change for medical assessment.","NOC 0900 — Cognição. Exemplos locais de avaliação: avaliar orientação, atenção, capacidade de acompanhar conversa/instruções, resolver problemas e tomar decisões em relação à linha de base e capacidade de comunicação; distinguir comprometimento cognitivo crônico de flutuação ou desatenção súbita; documentar se pistas, recursos sensoriais e ambiente com poucas distrações melhoram o desempenho; avaliar impacto funcional sobre medicamentos, autocuidado e segurança; utilizar indicadores/escala NOC licenciados selecionados para pontuação formal e escalar mudança cognitiva aguda para avaliação médica.","Recovered text was treated only as a candidate. This replacement was re-checked against the CURRENT code/label and linked diagnoses, then rewritten where needed for specificity, contemporary clinical practice, scope boundaries, observable evaluation, and safety. Locally authored example guidance; not verbatim or official NIC/NOC activity/indicator wording.",https://www.nice.org.uk/guidance/ng97/chapter/Recommendations | https://www.nice.org.uk/guidance/CG50/chapter/recommendations,EVIDENCE_REVIEWED_RECOVERED_OR_DRIFT_DRAFT
NOC,0901,Cognitive Orientation,Orientação Cognitiva,AUTHOR_NEW,STANDARD,,,,1,00173,Risk for acute confusion,Risco de confusão aguda,"NOC 0901 — Cognitive Orientation. Local example evaluation: assess orientation to person, place, time and current situation and compare with the person’s known baseline; note fluctuation across the day and ability to use clocks, calendars, environmental cues and familiar people; document whether disorientation affects safety, decision making or ability to follow care; distinguish chronic baseline disorientation from a recent or fluctuating change; use selected licensed NOC indicators and scale for formal scoring and trigger delirium or medical assessment for acute change.","NOC 0901 — Orientação Cognitiva. Exemplo local de avaliação: avaliar orientação para pessoa, local, tempo e situação atual e comparar com linha de base conhecida; observar flutuação ao longo do dia e capacidade de usar relógios, calendários, pistas ambientais e pessoas familiares; documentar se desorientação afeta segurança, decisões ou capacidade de seguir cuidado; distinguir desorientação crônica de mudança recente ou flutuante; utilizar indicadores e escala NOC licenciados selecionados para pontuação formal e acionar avaliação de delirium ou médica diante de alteração aguda.",Cognitive-orientation evaluation distinguishes chronic dementia from acute delirium.,https://www.nice.org.uk/guidance/cg103/chapter/Recommendations | https://www.nice.org.uk/guidance/ng97/chapter/Recommendations,EVIDENCE_REVIEWED_AUTHOR_NEW_DRAFT
NOC,0902,Communication,Comunicação,RECOVERED_FACT_CHECK_REQUIRED,STANDARD,Communication,NOC 0902 — Communication. Example evaluation: Score ability to communicate needs and understand messages; example target 2/5 to 4/5.,NOC 0902 — Comunicação (English: Communication). Exemplo de avaliação: Pontuar capacidade de comunicar necessidades e compreender mensagens; exemplo de meta 2/5 para 4/5.,3,00051; 00368; 00434,Impaired verbal communication | Readiness for enhanced verbal communication | Risk for impaired verbal communication,Comunicação verbal prejudicada | Prontidão para uma comunicação verbal aprimorada | Risco de comprometimento da comunicação verbal,"NOC 0902 — Communication. Local evaluation examples: assess the person’s ability to understand messages and express needs, choices, symptoms and safety concerns using speech, writing, gesture, communication board/device or interpreter as needed; note word-finding, articulation, hearing/vision or language barriers; document the amount of cueing or assistive support required and whether communication remains accurate under stress/fatigue; compare with baseline and goals; use the selected licensed NOC indicators/scale for formal scoring and refer sudden new communication deficit urgently.","NOC 0902 — Comunicação. Exemplos locais de avaliação: avaliar capacidade de compreender mensagens e expressar necessidades, escolhas, sintomas e preocupações de segurança por fala, escrita, gestos, prancha/dispositivo de comunicação ou intérprete conforme necessário; observar dificuldade de encontrar palavras, articulação, audição/visão ou barreiras linguísticas; documentar quantidade de pistas ou apoio assistivo necessário e se a comunicação permanece precisa sob estresse/fadiga; comparar com linha de base e metas; utilizar os indicadores/escala NOC licenciados selecionados para pontuação formal e encaminhar déficit súbito de comunicação com urgência.","Recovered text was treated only as a candidate. This replacement was re-checked against the CURRENT code/label and linked diagnoses, then rewritten where needed for specificity, contemporary clinical practice, scope boundaries, observable evaluation, and safety. Locally authored example guidance; not verbatim or official NIC/NOC activity/indicator wording.",https://www.who.int/news-room/fact-sheets/detail/self-care-health-interventions,EVIDENCE_REVIEWED_RECOVERED_OR_DRIFT_DRAFT
